id_match,Team,Core,Mid,Hard,Hard support,Easy support
6066057020,TNC Predator,Gabbi,Armel,Bok,Boomy,Tims
6023752731,INVICTUS GAMING,flyfly,Emo,JT-,kaka,super
6023752731,Nigma,iLTW,Miracle-,MinD_ContRoL,KuroKy,Gh
6067345961,D2 Hustlers,,Papatooty,Davai Lama,1437,pandaego
6067345961,Simply TOOBASED,boris,iAnnihilate,Monkeys-forever,5up,empyreaN
6078068597,Spider Pigzs,Koma`,No!ob™,Funn1k,LeBronDota,dnz
6078068597,Team Liquid,m`iCKe,Qojqva,Boxi,iNSaNiA,Taiga
6023828679,INVICTUS GAMING,flyfly,Emo,JT-,kaka,super
6023828679,Nigma,iLTW,Miracle-,MinD_ContRoL,KuroKy,Gh
6045055332,Virtus.pro,Nightfall,gpk~,DM,Save-,illias
6045055332,OG,SumaiL,Topson,Ceb,N0tail,Saksa
6055153086,Natus Vincere,V-Tune,No[o]ne-,RAMZES666,SoNNeikO,RodjER
6055153086,EXTREMUM,nefrit,mellojul,Blizzy,G,Chu
6055832598,BINOMISTAS,,mini,SexyFat,NUAGES,jupiter
6055832598,SG esports,Costabile,4dr ♥ Deia,tavo,KJ,Thiolicor
6078141185,Spider Pigzs,Koma`,No!ob™,Funn1k,LeBronDota,dnz
6078141185,Team Liquid,m`iCKe,Qojqva,Boxi,iNSaNiA,Taiga
6077244824,Sparking Arrow Gaming,Ms,7e,Son Goku,XCJ,老猫
6077244824,phoenix gaming,shiro,一,dolme,plAnet,zzq
6066123606,BOOM Esports,Dreamocel,Mikoto,Fbz,Khezcute,Hyde-
6066123606,Execration,Palos,Yowe,Nikko,Rr^,BDz
6023084699,Nigma,iLTW,Miracle-,MinD_ContRoL,KuroKy,Gh
6023084699,Vici Gaming,poyoyo,,old eLeVeN,Pyw,Dy
6045126712,OG,Ceb,Topson,Saksa,N0tail,SumaiL
6045126712,Virtus.pro,Nightfall,gpk~,DM,Save-,illias
6078222051,Spider Pigzs,Koma`,No!ob™,Funn1k,LeBronDota,dnz
6078222051,Team Liquid,m`iCKe,Qojqva,Boxi,iNSaNiA,Taiga
6055874096,BINOMISTAS,,mini,SexyFat,NUAGES,jupiter
6055874096,SG esports,Costabile,4dr ♥ Deia,tavo,KJ,Thiolicor
6023208208,Vici Gaming,poyoyo,,old eLeVeN,Dy,Pyw
6023208208,Nigma,iLTW,Miracle-,MinD_ContRoL,KuroKy,Gh
6066192587,Execration,Palos,Yowe,Nikko,Rr^,BDz
6066192587,BOOM Esports,Dreamocel,Mikoto,Fbz,Khezcute,Hyde-
6079489926,Nigma,iLTW,Miracle-,MinD_ContRoL,KuroKy,Gh
6079489926,OG,SumaiL,Topson,Ceb,N0tail,Saksa
6045050854,Team Secret,MATUMBAMAN,Nisha,zai,Puppey,YapzOr
6045050854,Alliance,Nikobaby龙的传人,LIMMP,s4,Handsken,Fng
6067392464,Arkosh Gaming,Pale Horse,Canus Vulpus,Gremlo,Crow,Aui_2000
6067392464,4 Zoomers,Sammy,Gunnar,Brax,Husky,ocean
6055285271,HellRaisers,Cooman,young G,Resolut1on,W_Zayac,lil me alone
6055285271,AS Monaco Gambit,dr,Lorenof,AfterLife,Immersion,eine
6055922132,SG esports,Costabile,4dr ♥ Deia,tavo,KJ,Thiolicor
6055922132,BINOMISTAS,,mini,SexyFat,NUAGES,jupiter
6077304142,Sparking Arrow Gaming,Ms,7e,Son Goku,XCJ,老猫
6077304142,phoenix gaming,shiro,一,dolme,plAnet,zzq
6023330168,AS Monaco Gambit,dr,Lorenof,AfterLife,Immersion,633
6023330168,Nigma,iLTW,Miracle-,MinD_ContRoL,KuroKy,Gh
6066239914,BOOM Esports,Dreamocel,Mikoto,Fbz,Khezcute,Hyde-
6066239914,Execration,Palos,Yowe,Nikko,Rr^,BDz
6079555406,Nigma,iLTW,Miracle-,MinD_ContRoL,KuroKy,Gh
6079555406,OG,SumaiL,Topson,Ceb,N0tail,Saksa
6023437931,Nigma,iLTW,Miracle-,MinD_ContRoL,KuroKy,Gh
6023437931,AS Monaco Gambit,dr,Lorenof,AfterLife,Immersion,633
6067439307,4 Zoomers,Brax,Gunnar,Sammy,Husky,ocean
6067439307,Arkosh Gaming,Pale Horse,Canus Vulpus,Gremlo,Crow,Aui_2000
6079627423,Nigma,iLTW,Miracle-,MinD_ContRoL,KuroKy,Gh
6079627423,OG,SumaiL,Topson,Ceb,N0tail,Saksa
6045131188,Alliance,Nikobaby龙的传人,LIMMP,s4,Handsken,Fng
6045131188,Team Secret,MATUMBAMAN,Nisha,zai,Puppey,YapzOr
6055381507,AS Monaco Gambit,dr,Lorenof,Immersion,AfterLife,eine
6055381507,HellRaisers,Cooman,young G,Resolut1on,W_Zayac,lil me alone
6023574998,Execration,Palos,Yowe,Nikko,Rr^,BDz
6023574998,AS Monaco Gambit,dr,Lorenof,AfterLife,Immersion,633
6077363253,phoenix gaming,shiro,一,dolme,plAnet,zzq
6077363253,Sparking Arrow Gaming,Ms,7e,Son Goku,XCJ,老猫
6066339778,Ωmega Esports,Tino,Mac,SamH,cml,Shanks
6066339778,Fnatic,Raven,ChYuaN,Deth,jabz,DJ
6067490075,Arkosh Gaming,Pale Horse,Canus Vulpus,Gremlo,Crow,Aui_2000
6067490075,4 Zoomers,Sammy,Gunnar,Brax,ocean,Husky
6057365632,Unknown Team,Angel,Robo-Z,Sacred,shccD,Wij
6057365632,Infinity,BernaBerna,PiPi,ArzenT,Pamplona,SexyeYogye
6066411685,Fnatic,Raven,ChYuaN,Deth,jabz,DJ
6066411685,Ωmega Esports,Tino,Mac,SamH,cml,Shanks
6055443093,HellRaisers,Cooman,young G,Resolut1on,W_Zayac,lil me alone
6055443093,AS Monaco Gambit,dr,Lorenof,AfterLife,Immersion,eine
6045945211,T1,23,Karl,Ku,Whitemon,Xepher
6045945211,ViKin.gg,Shad,BOOM,KheZu,Seleri,Aramis
6057400901,Unknown Team,Angel,Robo-Z,Sacred,shccD,Wij
6057400901,Infinity,BernaBerna,PiPi,ArzenT,Pamplona,SexyeYogye
6023662185,AS Monaco Gambit,dr,Lorenof,AfterLife,Immersion,633
6023662185,Execration,Palos,Yowe,Nikko,Rr^,BDz
6066544589,Ωmega Esports,Tino,Mac,SamH,cml,Shanks
6066544589,Fnatic,Raven,ChYuaN,Deth,jabz,DJ
6077441055,EHOME,Sylar,Xm,Chalice,xNova,Fade
6077441055,Aster.Aries,Ulu,phoenix,生死,yoona,Siamese.C
6046047547,T1,23,Karl,Ku,Whitemon,Xepher
6046047547,ViKin.gg,Shad,BOOM,KheZu,Seleri,Aramis
6057150378,PuckChamp,Krlt,Desperate-,meLes,Dukalis,Astral
6057150378,Team Spirit,Yatoro,TORONTOTOKYO,Collapse,Miposhka,Mira
6068967778,Undying,Timado,Bryle,SabeRLighT,MoonMeander,DuBu
6068967778,Black N Yellow,Yamsun,esK,zero,FLee,Jubei
6057442840,Unknown Team,Angel,Robo-Z,Sacred,shccD,Wij
